iter	Passed	Remaining
799	62351	15587
800	62420	15507
801	62470	15422
802	62535	15341
803	62594	15259
804	62661	15178
805	62729	15098
806	62794	15017
807	62871	14939
808	62951	14862
809	63020	14782
810	63082	14701
811	63170	14625
812	63241	14546
813	63308	14465
814	63388	14388
815	63470	14312
816	63545	14233
817	63624	14155
818	63687	14075
819	63787	14002
820	63872	13925
821	63938	13845
822	64007	13765
823	64087	13688
824	64153	13608
825	64218	13527
826	64287	13448
827	64370	13371
828	64464	13297
829	64561	13223
830	64629	13143
831	64723	13069
832	64796	12990
833	64881	12914
834	64947	12833
835	65018	12754
836	65087	12675
837	65152	12595
838	65243	12519
839	65313	12440
840	65384	12361
841	65481	12287
842	65574	12212
843	65668	12137
844	65749	12060
845	65839	11984
846	65915	11906
847	65995	11829
848	66069	11750
849	66142	11672
850	66223	11595
851	66305	11517
852	66384	11440
853	66464	11362
854	66554	11287
855	66634	11209
856	66709	11131
857	66772	11050
858	66854	10973
859	66935	10896
860	67038	10822
861	67116	10744
862	67197	10667
863	67273	10589
864	67359	10512
865	67448	10436
866	67533	10359
867	67633	10285
868	67722	10209
869	67794	10130
870	67852	10049
871	67925	9970
872	68014	9894
873	68108	9818
874	68218	9745
875	68314	9670
876	68390	9591
877	68474	9514
878	68541	9435
879	68605	9355
880	68698	9279
881	68772	9200
882	68848	9122
883	68920	9043
884	68993	8965
885	69058	8885
886	69132	8807
887	69211	8729
888	69301	8652
889	69369	8573
890	69444	8495
891	69534	8418
892	69596	8339
893	69675	8261
894	69762	8184
895	69839	8106
896	69905	8027
897	69974	7948
898	70063	7871
899	70148	7794
900	70228	7716
901	70324	7640
902	70411	7563
903	70489	7485
904	70567	7407
905	70654	7330
906	70724	7251
907	70808	7174
908	70906	7098
909	70984	7020
910	71055	6941
911	71124	6862
912	71210	6785
913	71298	6708
914	71377	6630
915	71469	6553
916	71551	6476
917	71634	6398
918	71720	6321
919	71800	6243
920	71888	6166
921	71967	6088
922	72047	6010
923	72126	5932
924	72253	5858
925	72328	5780
926	72496	5709
927	72591	5632
928	72683	5554
929	72757	5476
930	72823	5397
931	72918	5320
932	73002	5242
933	73068	5163
934	73153	5085
935	73225	5006
936	73320	4929
937	73401	4851
938	73475	4773
939	73545	4694
940	73626	4616
941	73704	4538
942	73778	4459
943	73852	4381
944	73930	4302
945	73998	4224
946	74073	4145
947	74140	4066
948	74218	3988
949	74300	3910
950	74384	3832
951	74457	3754
952	74533	3675
953	74596	3596
954	74663	3518
955	74747	3440
956	74827	3362
957	74887	3283
958	74963	3204
959	75041	3126
960	75117	3048
961	75193	2970
962	75254	2891
963	75304	2812
964	75380	2734
965	75445	2655
966	75520	2577
967	75597	2499
968	75683	2421
969	75755	2342
970	75832	2264
971	75904	2186
972	75973	2108
973	76041	2029
974	76116	1951
975	76193	1873
976	76259	1795
977	76339	1717
978	76406	1638
979	76466	1560
980	76544	1482
981	76625	1404
982	76692	1326
983	76750	1247
984	76812	1169
985	76878	1091
986	76930	1013
987	76994	935
988	77067	857
989	77138	779
990	77202	701
991	77264	623
992	77335	545
993	77398	467
994	77478	389
995	77568	311
996	77653	233
997	77721	155
998	77791	77
999	77852	0
